month,current_marginal_pd,current_cumulative_pd,current_survival,origination_marginal_pd,origination_cumulative_pd,origination_survival
113,0.000112237729,0.092782836790,0.907217163210,0.000009830318,0.001141111603,0.998858888397
114,0.000110003848,0.092892840639,0.907107159361,0.000009818713,0.001150930316,0.998849069684
115,0.000107842691,0.093000683329,0.906999316671,0.000009813870,0.001160744186,0.998839255814
116,0.000105744206,0.093106427536,0.906893572464,0.000009814295,0.001170558482,0.998829441518
117,0.000103736587,0.093210164123,0.906789835877,0.000009818621,0.001180377102,0.998819622898
118,0.000101836262,0.093312000385,0.906687999615,0.000009823444,0.001190200547,0.998809799453
119,0.000099943067,0.093411943452,0.906588056548,0.000009819576,0.001200020123,0.998799979877
120,0.000098167690,0.093510111141,0.906489888859,0.000009816506,0.001209836629,0.998790163371
121,0.000096345398,0.093606456540,0.906393543460,0.000009814534,0.001219651163,0.998780348837
122,0.000094615099,0.093701071639,0.906298928361,0.000009806877,0.001229458040,0.998770541960
123,0.000093013695,0.093794085333,0.906205914667,0.000009822032,0.001239280072,0.998760719928
124,0.000091458056,0.093885543389,0.906114456611,0.000009838425,0.001249118497,0.998750881503
125,0.000089848891,0.093975392281,0.906024607719,0.000009854358,0.001258972855,0.998741027145
126,0.000088380273,0.094063772553,0.905936227447,0.000009870763,0.001268843619,0.998731156381
127,0.000086952501,0.094150725054,0.905849274946,0.000009887285,0.001278730904,0.998721269096
128,0.000085564324,0.094236289379,0.905763710621,0.000009903850,0.001288634754,0.998711365246
129,0.000084214369,0.094320503747,0.905679496253,0.000009920175,0.001298554929,0.998701445071
130,0.000082901785,0.094403405532,0.905596594468,0.000009936614,0.001308491543,0.998691508457
131,0.000081625605,0.094485031138,0.905514968862,0.000009953303,0.001318444846,0.998681555154
132,0.000080384398,0.094565415536,0.905434584464,0.000009969756,0.001328414602,0.998671585398
133,0.000079171541,0.094644587077,0.905355412923,0.000009986033,0.001338400634,0.998661599366
134,0.000077997891,0.094722584968,0.905277415032,0.000010002842,0.001348403476,0.998651596524
135,0.000076856140,0.094799441107,0.905200558893,0.000010019364,0.001358422840,0.998641577160
136,0.000075681717,0.094875122825,0.905124877175,0.000010035962,0.001368458803,0.998631541197
137,0.000074602518,0.094949725342,0.905050274658,0.000010052595,0.001378511397,0.998621488603
138,0.000073553067,0.095023278409,0.904976721591,0.000010069560,0.001388580958,0.998611419042
139,0.000072532170,0.095095810579,0.904904189421,0.000010086405,0.001398667363,0.998601332637
140,0.000071539266,0.095167349845,0.904832650155,0.000010103447,0.001408770810,0.998591229190
141,0.000070573432,0.095237923277,0.904762076723,0.000010120528,0.001418891338,0.998581108662
142,0.000069608879,0.095307532156,0.904692467844,0.000010137377,0.001429028715,0.998570971285
143,0.000068694887,0.095376227043,0.904623772957,0.000010154532,0.001439183247,0.998560816753
144,0.000067805730,0.095444032773,0.904555967227,0.000010171725,0.001449354972,0.998550645028
145,0.000066940706,0.095510973479,0.904489026521,0.000010188955,0.001459543927,0.998540456073
146,0.000066098833,0.095577072311,0.904422927689,0.000010205919,0.001469749846,0.998530250154
147,0.000065255427,0.095642327738,0.904357672262,0.000010208322,0.001479958167,0.998520041833
148,0.000064431352,0.095706759090,0.904293240910,0.000010210778,0.001490168946,0.998509831054
149,0.000063575311,0.095770334401,0.904229665599,0.000010200181,0.001500369127,0.998499630873
150,0.000062758987,0.095833093388,0.904166906612,0.000010201469,0.001510570596,0.998489429404
151,0.000061906611,0.095894999999,0.904105000001,0.000010201485,0.001520772080,0.998479227920
152,0.000061116313,0.095956116313,0.904043883687,0.000010199908,0.001530971988,0.998469028012
153,0.000060192290,0.096016308603,0.903983691397,0.000010181994,0.001541153982,0.998458846018
154,0.000059394493,0.096075703096,0.903924296904,0.000010176247,0.001551330229,0.998448669771
155,0.000058557918,0.096134261014,0.903865738986,0.000010171882,0.001561502112,0.998438497888
156,0.000057855514,0.096192116528,0.903807883472,0.000010166110,0.001571668222,0.998428331778
157,0.000057159945,0.096249276473,0.903750723527,0.000010170272,0.001581838493,0.998418161507
158,0.000056540426,0.096305816899,0.903694183101,0.000010177750,0.001592016244,0.998407983756
159,0.000055903674,0.096361720573,0.903638279427,0.000010184725,0.001602200968,0.998397799032
160,0.000055285467,0.096417006040,0.903582993960,0.000010191969,0.001612392937,0.998387607063
161,0.000054686876,0.096471692916,0.903528307084,0.000010193804,0.001622586742,0.998377413258
162,0.000054096944,0.096525789860,0.903474210140,0.000010199720,0.001632786462,0.998367213538
163,0.000053470149,0.096579260009,0.903420739991,0.000010208285,0.001642994746,0.998357005254
164,0.000052882051,0.096632142060,0.903367857940,0.000010214719,0.001653209466,0.998346790534
165,0.000052349571,0.096684491631,0.903315508369,0.000010223389,0.001663432854,0.998336567146
166,0.000051836018,0.096736327650,0.903263672350,0.000010234473,0.001673667328,0.998326332672
167,0.000051353852,0.096787681502,0.903212318498,0.000010242925,0.001683910252,0.998316089748
168,0.000050848256,0.096838529758,0.903161470242,0.000010244388,0.001694154641,0.998305845359
169,0.000050387588,0.096888917346,0.903111082654,0.000010254655,0.001704409296,0.998295590704
170,0.000049934381,0.096938851727,0.903061148273,0.000010260991,0.001714670287,0.998285329713
171,0.000049463306,0.096988315033,0.903011684967,0.000010265976,0.001724936262,0.998275063738
172,0.000049001307,0.097037316340,0.902962683660,0.000010271818,0.001735208080,0.998264791920
173,0.000048560251,0.097085876591,0.902914123409,0.000010277215,0.001745485296,0.998254514704
174,0.000048155075,0.097134031666,0.902865968334,0.000010285300,0.001755770596,0.998244229404
175,0.000047708911,0.097181740577,0.902818259423,0.000010291883,0.001766062479,0.998233937521
176,0.000047333564,0.097229074141,0.902770925859,0.000010303565,0.001776366044,0.998223633956
177,0.000046948889,0.097276023030,0.902723976970,0.000010313595,0.001786679639,0.998213320361
178,0.000046558759,0.097322581789,0.902677418211,0.000010304092,0.001796983731,0.998203016269
179,0.000046194684,0.097368776473,0.902631223527,0.000010314701,0.001807298432,0.998192701568
180,0.000045848260,0.097414624733,0.902585375267,0.000010319886,0.001817618317,0.998182381683
181,0.000045490843,0.097460115577,0.902539884423,0.000010330032,0.001827948349,0.998172051651
182,0.000045160514,0.097505276091,0.902494723909,0.000010339834,0.001838288183,0.998161711817
183,0.000044861711,0.097550137802,0.902449862198,0.000010357273,0.001848645456,0.998151354544
184,0.000044570696,0.097594708498,0.902405291502,0.000010374431,0.001859019888,0.998140980112
185,0.000044287708,0.097638996206,0.902361003794,0.000010391939,0.001869411827,0.998130588173
186,0.000043990492,0.097682986698,0.902317013302,0.000010409507,0.001879821333,0.998120178667
187,0.000043722332,0.097726709030,0.902273290970,0.000010426961,0.001890248295,0.998109751705
188,0.000043461511,0.097770170541,0.902229829459,0.000010444593,0.001900692888,0.998099307112
189,0.000043189433,0.097813359975,0.902186640025,0.000010462115,0.001911155003,0.998088844997
190,0.000042942792,0.097856302766,0.902143697234,0.000010479793,0.001921634796,0.998078365204
191,0.000042702968,0.097899005734,0.902100994266,0.000010497720,0.001932132516,0.998067867484
192,0.000042469423,0.097941475157,0.902058524843,0.000010515500,0.001942648016,0.998057351984
193,0.000042231962,0.097983707119,0.902016292881,0.000010533239,0.001953181256,0.998046818744
194,0.000042010957,0.098025718076,0.901974281924,0.000010550948,0.001963732203,0.998036267797
195,0.000041796030,0.098067514106,0.901932485894,0.000010568757,0.001974300960,0.998025699040
196,0.000041586833,0.098109100939,0.901890899061,0.000010586495,0.001984887455,0.998015112545
197,0.000041383578,0.098150484517,0.901849515483,0.000010604610,0.001995492065,0.998004507935
198,0.000041185454,0.098191669972,0.901808330028,0.000010622277,0.002006114342,0.997993885658
199,0.000040993092,0.098232663064,0.901767336936,0.000010640455,0.002016754797,0.997983245203
200,0.000040805784,0.098273468848,0.901726531152,0.000010658439,0.002027413236,0.997972586764
201,0.000040623765,0.098314092612,0.901685907388,0.000010676681,0.002038089917,0.997961910083
202,0.000040446720,0.098354539333,0.901645460667,0.000010694953,0.002048784870,0.997951215130
203,0.000040274233,0.098394813565,0.901605186435,0.000010712967,0.002059497837,0.997940502163
204,0.000040106363,0.098434919928,0.901565080072,0.000010730547,0.002070228383,0.997929771617
205,0.000039943067,0.098474862995,0.901525137005,0.000010748481,0.002080976865,0.997919023135
206,0.000039784690,0.098514647685,0.901485352315,0.000010766879,0.002091743744,0.997908256256
207,0.000039606885,0.098554254570,0.901445745430,0.000010782321,0.002102526064,0.997897473936
208,0.000039454225,0.098593708795,0.901406291205,0.000010796627,0.002113322692,0.997886677308
209,0.000039297296,0.098633006091,0.901366993909,0.000010811223,0.002124133914,0.997875866086
210,0.000039154679,0.098672160770,0.901327839230,0.000010828105,0.002134962019,0.997865037981
211,0.000039016715,0.098711177485,0.901288822515,0.000010845731,0.002145807750,0.997854192250
212,0.000038875203,0.098750052688,0.901249947312,0.000010862678,0.002156670428,0.997843329572
213,0.000038737379,0.098788790066,0.901211209934,0.000010876571,0.002167546999,0.997832453001
214,0.000038608808,0.098827398874,0.901172601126,0.000010893144,0.002178440143,0.997821559857
215,0.000038481413,0.098865880287,0.901134119713,0.000010906589,0.002189346732,0.997810653268
216,0.000038359385,0.098904239672,0.901095760328,0.000010921964,0.002200268696,0.997799731304
217,0.000038241494,0.098942481166,0.901057518834,0.000010938176,0.002211206872,0.997788793128
