vintage,from_state,to_state,count,probability
2006Q4,CURRENT,60_DPD,87,0.00015032631176985906
2006Q4,90_PLUS,PAID_OFF,74,0.002870776273422043
2006Q4,CURRENT,CENSORED_DEFECT,24,4.1469327384788704e-05
2006Q4,30_DPD,CENSORED_RPL,25,0.0013697129081744466
2006Q4,CURRENT,DEFAULTED,9,1.5550997769295766e-05
2006Q4,DEFAULTED,CENSORED_DEFECT,2,0.0005702879954376961
2006Q4,90_PLUS,CENSORED_DEFECT,36,0.0013965938627458587
2006Q4,30_DPD,DEFAULTED,3,0.0001643655489809336
2006Q4,30_DPD,CENSORED_DEFECT,5,0.00027394258163488934
2006Q4,60_DPD,DEFAULTED,6,0.0009615384615384616
2006Q4,60_DPD,CENSORED_RPL,6,0.0009615384615384616
2006Q4,90_PLUS,CENSORED_RPL,1,3.879427396516274e-05
2006Q4,60_DPD,CENSORED_DEFECT,2,0.0003205128205128205
2007Q1,CURRENT,CURRENT,565779,0.9710910332943143
2007Q1,CURRENT,PAID_OFF,8400,0.014417581210458925
2007Q1,CURRENT,30_DPD,8076,0.013861474506626939
2007Q1,30_DPD,PAID_OFF,110,0.006358381502890174
2007Q1,30_DPD,CURRENT,5475,0.31647398843930635
2007Q1,30_DPD,60_DPD,3483,0.20132947976878612
2007Q1,60_DPD,90_PLUS,2312,0.3869456066945607
2007Q1,90_PLUS,90_PLUS,22552,0.9045040709100389
2007Q1,90_PLUS,CURRENT,1005,0.04030802550836241
2007Q1,90_PLUS,PAID_OFF,65,0.0026069867244214494
2007Q1,30_DPD,30_DPD,8176,0.47260115606936415
2007Q1,60_DPD,CURRENT,615,0.10292887029288703
2007Q1,60_DPD,60_DPD,2115,0.35397489539748955
2007Q1,CURRENT,CENSORED_DEFECT,37,6.35060124746405e-05
2007Q1,60_DPD,30_DPD,898,0.1502928870292887
2007Q1,90_PLUS,DEFAULTED,813,0.03260738779930213
2007Q1,CURRENT,DEFAULTED,9,1.544740843977742e-05
2007Q1,CURRENT,60_DPD,72,0.00012357926751821937
2007Q1,90_PLUS,30_DPD,150,0.006016123210203345
2007Q1,DEFAULTED,DEFAULTED,3337,0.9997004194128221
2007Q1,90_PLUS,60_DPD,307,0.012312998836882846
2007Q1,CURRENT,CENSORED_RPL,201,0.0003449921218216957
2007Q1,CURRENT,90_PLUS,48,8.238617834547957e-05
2007Q1,90_PLUS,CENSORED_DEFECT,40,0.001604299522720892
2007Q1,30_DPD,90_PLUS,22,0.0012716763005780347
2007Q1,30_DPD,CENSORED_RPL,29,0.0016763005780346821
2007Q1,60_DPD,PAID_OFF,21,0.003514644351464435
2007Q1,60_DPD,DEFAULTED,7,0.0011715481171548118
2007Q1,DEFAULTED,CENSORED_DEFECT,1,0.0002995805871779509
2007Q1,60_DPD,CENSORED_RPL,6,0.0010041841004184101
2007Q1,30_DPD,DEFAULTED,4,0.00023121387283236994
2007Q1,90_PLUS,CENSORED_RPL,1,4.01074880680223e-05
2007Q1,60_DPD,CENSORED_DEFECT,1,0.00016736401673640169
2007Q1,30_DPD,CENSORED_DEFECT,1,5.7803468208092484e-05
2007Q2,CURRENT,CURRENT,544823,0.9699070900989271
2007Q2,CURRENT,30_DPD,8264,0.014711772800666515
2007Q2,30_DPD,CURRENT,5515,0.29773794741672516
2007Q2,30_DPD,30_DPD,9175,0.49533013010851373
