segment_type,segment,from_state,to_state,sample_count,weighted_count,probability
Vintage,2005Q1,60_DPD,CENSORED_RPL,6,203.0016000000,0.0013661202
Vintage,2005Q1,60_DPD,CURRENT,493,16679.9648000000,0.1122495446
Vintage,2005Q1,60_DPD,DEFAULTED,4,135.3344000000,0.0009107468
Vintage,2005Q1,60_DPD,PAID_OFF,41,1387.1776000000,0.0093351548
Vintage,2005Q1,90_PLUS,30_DPD,136,4601.3696000000,0.0091954023
Vintage,2005Q1,90_PLUS,60_DPD,222,7511.0592000000,0.0150101420
Vintage,2005Q1,90_PLUS,90_PLUS,13254,448430.5343999999,0.8961460446
Vintage,2005Q1,90_PLUS,CENSORED_DEFECT,8,270.6688000000,0.0005409060
Vintage,2005Q1,90_PLUS,CENSORED_RPL,1,33.8336000000,0.0000676133
Vintage,2005Q1,90_PLUS,CURRENT,671,22702.3456000000,0.0453684922
Vintage,2005Q1,90_PLUS,DEFAULTED,423,14311.6128000000,0.0286004057
Vintage,2005Q1,90_PLUS,PAID_OFF,75,2537.5200000000,0.0050709939
Vintage,2005Q1,CURRENT,30_DPD,6897,233350.3392000000,0.0091239693
Vintage,2005Q1,CURRENT,60_DPD,52,1759.3472000000,0.0000687903
Vintage,2005Q1,CURRENT,90_PLUS,42,1421.0112000000,0.0000555614
Vintage,2005Q1,CURRENT,CENSORED_DEFECT,7,236.8352000000,0.0000092602
Vintage,2005Q1,CURRENT,CENSORED_RPL,100,3383.3600000000,0.0001322890
Vintage,2005Q1,CURRENT,CURRENT,739853,25031890.4607999995,0.9787438105
Vintage,2005Q1,CURRENT,DEFAULTED,3,101.5008000000,0.0000039687
Vintage,2005Q1,CURRENT,PAID_OFF,8967,303385.8912000000,0.0118623507
