reporting_month,state,rows,weighted_rows
201102,60_DPD,747,24764.3568
201102,90_PLUS,3872,127284.21710000001
201102,CENSORED_DEFECT,7,219.14
201102,CURRENT,52276,1777382.0273000002
201102,DEFAULTED,657,21246.0171
201102,PAID_OFF,909,30698.237399999998
201103,30_DPD,1664,55113.5029
201103,60_DPD,656,21952.103
201103,90_PLUS,3666,120560.2841
201103,CENSORED_DEFECT,12,379.314
201103,CURRENT,51952,1766550.7315
201103,DEFAULTED,698,22586.7571
201103,PAID_OFF,852,28654.457300000002
201104,30_DPD,1748,57866.673
201104,60_DPD,678,22557.6249
201104,90_PLUS,3628,119508.1052
201104,CENSORED_DEFECT,7,213.4631
201104,CURRENT,51025,1735619.0129
201104,DEFAULTED,622,20325.2199
201104,PAID_OFF,741,24796.9433
201105,30_DPD,1768,58293.2773
201105,60_DPD,636,21039.976599999998
201105,90_PLUS,3573,117551.51640000001
201105,CENSORED_DEFECT,5,147.2284
201105,CURRENT,50350,1713629.2768
201105,DEFAULTED,600,19570.6768
201105,PAID_OFF,630,21011.3261
201106,30_DPD,1828,60765.9858
201106,60_DPD,684,22598.9069
201106,90_PLUS,3503,115382.0759
201106,CENSORED_DEFECT,10,319.57910000000004
201106,CURRENT,49492,1684142.7108
201106,DEFAULTED,591,19264.1271
201106,PAID_OFF,698,23671.2326
201107,30_DPD,1918,63998.1834
201107,60_DPD,715,23582.4357
201107,90_PLUS,3503,115597.6234
201107,CENSORED_DEFECT,6,183.8261
201107,CURRENT,48606,1654000.0406
201107,DEFAULTED,604,19620.949
201107,PAID_OFF,630,21417.728
201108,30_DPD,1822,60438.505600000004
201108,60_DPD,664,21844.3387
201108,90_PLUS,3491,115277.32890000001
201108,CENSORED_DEFECT,6,182.6339
201108,CURRENT,47831,1627879.6875999998
201108,DEFAULTED,617,20190.6932
201108,PAID_OFF,791,26993.1391
201109,30_DPD,1766,58748.1536
201109,60_DPD,690,22562.4284
201109,90_PLUS,3501,115678.1098
201109,CENSORED_DEFECT,11,371.7437
201109,CURRENT,46950,1597635.8488
201109,DEFAULTED,604,19683.950100000002
201109,PAID_OFF,755,25931.5752
201110,30_DPD,1706,56798.1516
201110,60_DPD,654,21510.8814
201110,90_PLUS,3571,117787.86880000001
201110,CENSORED_DEFECT,2,61.0539
201110,CURRENT,45998,1564658.4537
201110,DEFAULTED,581,18935.317000000003
201110,PAID_OFF,878,30548.8552
201111,30_DPD,1838,61295.9743
201111,60_DPD,666,21880.2833
201111,90_PLUS,3563,117610.6848
201111,CENSORED_DEFECT,3,99.30900000000001
201111,CURRENT,44878,1525929.9297
201111,DEFAULTED,592,19345.456
201111,PAID_OFF,856,29868.1372
201112,30_DPD,1742,57964.5738
201112,60_DPD,683,22678.2992
201112,90_PLUS,3560,117434.9011
201112,CENSORED_DEFECT,8,235.0823
201112,CURRENT,43958,1494215.2349
201112,DEFAULTED,611,20146.4109
201112,PAID_OFF,863,29815.7603
201201,30_DPD,1647,54958.3773
201201,60_DPD,624,20400.0882
201201,90_PLUS,3577,118220.7521
201201,CENSORED_DEFECT,4,120.04339999999999
201201,CURRENT,43217,1468868.9062
201201,DEFAULTED,609,20134.4774
201201,PAID_OFF,753,25665.8265
201202,30_DPD,1572,52631.07
201202,60_DPD,603,19733.8391
201202,90_PLUS,3517,116209.1053
201202,CENSORED_DEFECT,4,123.8648
201202,CURRENT,42421,1441630.4161
201202,DEFAULTED,625,20638.2969
201202,PAID_OFF,823,28015.0796
201203,30_DPD,1403,46681.3006
201203,60_DPD,503,16613.743
201203,90_PLUS,3446,113988.2554
201203,CENSORED_DEFECT,3,92.4015
201203,CURRENT,41604,1414297.4455
201203,DEFAULTED,652,21397.588600000003
201203,PAID_OFF,1009,33968.8251
201204,30_DPD,1431,47781.8041
201204,60_DPD,485,15957.4235
201204,90_PLUS,3408,112642.9893
201204,CENSORED_DEFECT,7,229.52050000000003
201204,CURRENT,40478,1375856.4463
201204,DEFAULTED,632,20881.5269
201204,PAID_OFF,1018,34829.3106
201205,30_DPD,1406,47005.0014
201205,60_DPD,515,16813.3357
201205,90_PLUS,3351,110808.636
201205,CENSORED_DEFECT,4,130.72670000000002
201205,CURRENT,39177,1331928.1926
201205,DEFAULTED,611,20215.6354
201205,PAID_OFF,1222,41291.7198
201206,30_DPD,1504,50243.7289
201206,60_DPD,560,18556.4792
201206,90_PLUS,3239,106941.5881
201206,CENSORED_DEFECT,8,257.0328
201206,CURRENT,37960,1290741.2817
201206,DEFAULTED,605,19903.9869
201206,PAID_OFF,1047,35488.7152
201207,30_DPD,1486,49625.0351
201207,60_DPD,505,16734.921000000002
201207,90_PLUS,3178,104939.1402
201207,CENSORED_DEFECT,9,281.9746
201207,CURRENT,36901,1254756.4532
201207,DEFAULTED,588,19341.1015
201207,PAID_OFF,1061,36065.7799
201208,30_DPD,1402,46777.8114
201208,60_DPD,539,17904.4329
201208,90_PLUS,3092,101864.0029
201208,CENSORED_DEFECT,5,157.0084
201208,CURRENT,35841,1219074.0447
201208,DEFAULTED,579,19002.128099999998
201208,PAID_OFF,1069,36244.494
