segment_type,segment,from_state,to_state,sample_count,weighted_count,probability
Original LTV,81 to 90,DEFAULTED,DEFAULTED,6231,201045.9426,0.9993420115900404
Original LTV,Above 90,30_DPD,30_DPD,11485,378456.39650000003,0.48369085485313307
Original LTV,Above 90,30_DPD,60_DPD,5013,163978.5147,0.2095747586414226
Original LTV,Above 90,30_DPD,90_PLUS,35,1115.2619,0.0014253741957724563
Original LTV,Above 90,30_DPD,CENSORED_DEFECT,11,339.61310000000003,0.00043404670175345433
Original LTV,Above 90,30_DPD,CENSORED_RPL,36,1160.5139,0.001483209071246186
Original LTV,Above 90,30_DPD,CURRENT,7021,232898.7072,0.2976590588019234
Original LTV,Above 90,30_DPD,DEFAULTED,7,227.1568,0.0002903205436447212
Original LTV,Above 90,30_DPD,PAID_OFF,129,4258.3035,0.005442377191104203
Original LTV,Above 90,60_DPD,30_DPD,1253,41598.3692,0.14328412182383254
Original LTV,Above 90,60_DPD,60_DPD,3240,106507.1105,0.3668600017133939
Original LTV,Above 90,60_DPD,90_PLUS,3463,112370.3067,0.3870555751157722
Original LTV,Above 90,60_DPD,CENSORED_DEFECT,5,153.5474,0.0005288886268967665
Original LTV,Above 90,60_DPD,CENSORED_RPL,7,276.8722,0.0009536765694755295
Original LTV,Above 90,60_DPD,CURRENT,848,28066.9502,0.09667562428577707
Original LTV,Above 90,60_DPD,DEFAULTED,11,372.3289,0.0012824738202990313
Original LTV,Above 90,60_DPD,PAID_OFF,28,975.373,0.0033596380445528864
Original LTV,Above 90,90_PLUS,30_DPD,213,6846.8861,0.0057605373577327545
Original LTV,Above 90,90_PLUS,60_DPD,475,15695.069,0.013204839395048979
Original LTV,Above 90,90_PLUS,90_PLUS,33094,1072228.1248,0.9021049976166741
Original LTV,Above 90,90_PLUS,CENSORED_DEFECT,84,2616.6238000000003,0.002201461939177379
Original LTV,Above 90,90_PLUS,CENSORED_RPL,4,120.69850000000001,0.00010154809180662534
Original LTV,Above 90,90_PLUS,CURRENT,1389,45082.5502,0.037929609287492345
Original LTV,Above 90,90_PLUS,DEFAULTED,1365,44055.6256,0.03706561981322977
Original LTV,Above 90,90_PLUS,PAID_OFF,59,1939.0409,0.0016313864988380254
Original LTV,Above 90,CURRENT,30_DPD,10796,355864.4314,0.019682475588929025
Original LTV,Above 90,CURRENT,60_DPD,132,4286.5572,0.0002370848278307253
Original LTV,Above 90,CURRENT,90_PLUS,100,3181.5148,0.00017596613165430394
Original LTV,Above 90,CURRENT,CENSORED_DEFECT,38,1199.2263,6.632790549618182e-05
Original LTV,Above 90,CURRENT,CENSORED_RPL,210,6712.0777,0.0003712377350035013
Original LTV,Above 90,CURRENT,CURRENT,523189,17501125.0154,0.9679682359353816
Original LTV,Above 90,CURRENT,DEFAULTED,9,300.9528,1.6645372835144882e-05
Original LTV,Above 90,CURRENT,PAID_OFF,6293,207598.1151,0.011482026502869622
Original LTV,Above 90,DEFAULTED,CENSORED_DEFECT,9,276.1098,0.0013454524510159067
Original LTV,Above 90,DEFAULTED,DEFAULTED,6355,204940.9529,0.9986545475489841
Original LTV,Unknown,CURRENT,CURRENT,815,25970.2424,0.9912575639460125
Original LTV,Unknown,CURRENT,PAID_OFF,7,229.04559999999998,0.00874243605398742
